[2025-05-22T10:45:39.781+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:44.803+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:49.833+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:54.864+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:45:59.888+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:04.914+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:09.948+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:14.973+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:20.002+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:25.033+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:30.064+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:35.092+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:40.120+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:45.154+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:50.192+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:46:55.213+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:47:00.240+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
