[2025-05-22T10:51:37.805+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:37.815+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.825+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:37.834+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.844+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:37.854+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.864+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:37.873+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.883+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.893+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.903+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.912+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.922+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:37.936+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
